"GEOID","INTPTLAT","INTPTLON"
"21007",37.0565847913228,-88.9952687074871
"21017",38.2065208973286,-84.2213925411621
"21031",37.206716128982,-86.679891544981
"21065",37.6942410046468,-83.9581419669271
"21069",38.3709458626777,-83.7002421440645
"21093",37.6982503549775,-85.9648416549175
"21099",37.3015158932839,-85.8881915965387
"21131",37.0978550898144,-83.3833503787718
"21151",37.718014340312,-84.2716910520774
"21155",37.5516693066214,-85.2711972167235
"21179",37.8062393729265,-85.468077029091
"17091",41.1374764724953,-87.8627214722447
"17187",40.8492501279232,-90.6147429054551
"17197",41.4448802072937,-87.9784475545945
"18027",38.7030908072563,-87.0751254868042
"18061",38.1976913884491,-86.1120898269276
"01001",32.5387185621252,-86.6418641216562
"01005",31.867216281183,-85.3909372093646
"01023",32.0213363248373,-88.2627313061211
"01035",31.4278297184048,-86.9952392128592
"01051",32.5974409423917,-86.1520075745447
"01055",34.0479090275311,-86.0297049669198
"01065",32.7595613688017,-87.6335982422513
"01089",34.7595542447446,-86.5537997014236
"01113",32.288868279461,-85.1876551992369
"01117",33.2632841475486,-86.6701986667209
"02016",52.8754747827895,-111.450375504428
"02130",55.5903471226853,-130.931524474659
"02180",64.9118626201568,-164.020922798532
"02282",59.8892968618494,-140.356883922854
"05011",33.469359394417,-92.1597678200371
"05015",36.3399067233748,-93.5380019325619
"05019",34.0497416309504,-93.1759533615758
"05025",33.8979491777894,-92.1876690774289
"05063",35.7422392279587,-91.5714677471552
"05067",35.5988459786331,-91.2153789924349
"05121",36.3427430867369,-91.0287030801714
"06001",37.6498527976468,-121.894582441173
"06003",38.5975743806747,-119.81897791155
"06005",38.4439900674114,-120.656184395752
"06013",37.9208714415836,-121.928500240492
"06019",36.7582355120453,-119.649996637011
"06023",40.6985470659587,-123.876637449796
"06033",39.097865381165,-122.750770523998
"06037",34.3202479141952,-118.22526761719
"06047",37.1927638025163,-120.717530214107
"06057",39.3003351004858,-120.768053381887
"06081",37.4261803224564,-122.329089941822
"06085",37.2330363553856,-121.697589621415
"06115",39.265650502982,-121.351502161985
"08013",40.0919362791199,-105.354441993534
"08029",38.8621651522963,-107.862593840025
"08049",40.095987415018,-106.111966660091
"08077",39.0180370016075,-108.468782051783
"08083",37.3391119071205,-108.595010513018
"08091",38.1532408070013,-107.765673382296
"09009",41.4068021800645,-72.9230585793401
"11001",38.9018298305078,-77.01945076201
"12009",28.292925934919,-80.7300917544242
"12023",30.2202653256043,-82.6235437692342
"12039",30.5790413211967,-84.6244944987761
"12055",27.3426487421221,-81.3383782822206
"12065",30.4348560886878,-83.8955639619412
"12073",30.4604683967841,-84.275527840066
"12095",28.5129668955665,-81.323326476388
"12107",29.6068939734257,-81.7446008256374
"12123",30.0481939269114,-83.6039400490482
"12127",29.0585818051535,-81.1825249473217
"12131",30.6418970727015,-86.1700495234869
"12133",30.6106700867274,-85.6628758647715
"13009",33.0711070641542,-83.242457242073
"13027",30.845202811321,-83.5808249329784
"13103",32.3668904048656,-81.3395345608815
"13121",33.7887148601785,-84.4657114450838
"13141",33.276242980573,-82.9982509373871
"13149",33.2974333801924,-85.1290837528292
"13179",31.8258445180616,-81.4948698159609
"13183",31.7547916683765,-81.7490473802894
"13189",33.4809283549883,-82.4799262217616
"13209",32.175490042042,-82.5298940065366
"13229",31.359417871336,-82.2141927217115
"13267",32.0470747137454,-82.0581492377898
"13271",31.9291648454243,-82.9345970434454
"13291",34.8305360325185,-83.9880907931222
"13305",31.552494509077,-81.9194858434997
"13319",32.8033865674519,-83.171172398024
"15007",22.0413452522166,-159.590156967503
"16015",43.9889015313913,-115.731212477299
"16023",43.7225038010368,-113.171186294606
"16025",43.4638886091614,-114.803542723494
"16027",43.6263775226998,-116.711288614598
"16037",44.2381747187851,-114.281061492332
"16039",43.3540956774305,-115.470329157571
"16043",44.2292821706262,-111.481918607239
"16061",46.2380104075952,-116.431165944852
"16063",43.0012336022277,-114.135877253237
"16085",44.7644525975012,-115.564933080517
"19175",41.0277277965485,-94.2423484698293
"20053",38.6966147582891,-98.205338355013
"20095",37.5590952707415,-98.136386777434
"20135",38.479741568388,-99.9154733266334
"20199",38.9168973158868,-101.763786729333
"48011",34.9650742624629,-101.357487365015
"48025",28.4187992155877,-97.7419880379124
"48035",31.9002556779515,-97.6355780594354
"48053",30.7901335238162,-98.1810157823285
"48055",29.834272289502,-97.6166571090955
"48083",31.7744980762887,-99.4545617778872
"29057",37.4326608972191,-93.8487873096546
"29143",36.5958967889719,-89.6520160267803
"29157",37.7088070650737,-89.8306537412953
"29189",38.6390123219717,-90.4469456886391
"29199",40.4521167860125,-92.1471173191651
"29207",36.8544697796334,-89.9428162313451
"30015",47.8811070025056,-110.435944541878
"30023",46.0656924905685,-113.058506604052
"30029",48.2960448516762,-114.050595759541
"30039",46.4065367194987,-113.438533821687
"30057",45.301348866808,-111.92159949724
"30071",48.2581409002508,-107.914188701495
"30077",46.8562727079924,-112.935376657156
"30085",48.2922558609872,-105.012765053001
"30087",46.229139855733,-106.730032112221
"30105",48.3649834884668,-106.669185442774
"31091",41.9158624344568,-101.135429269062
"53065",48.3969878371382,-117.855032614269
"21189",37.421156311587,-83.6785743744402
"21195",37.4684961988555,-82.3915342263143
"21217",37.3665420819472,-85.3292838011024
"21237",37.7411451353666,-83.4881358822555
"21239",38.0483997065296,-84.7411276510473
"22001",30.2929236310652,-92.411081785785
"22009",31.0816474670304,-92.0008471372569
