county_fips,per_dem_2020,per_gop_2020
01001,0.27018365142239825,0.714368023046453
01003,0.22409029987509005,0.7617137282433283
01005,0.45788172656398557,0.5345122646891044
01007,0.20698280354351226,0.7842626367899947
01009,0.09569377990430622,0.8957155284906481
01011,0.7470192933015392,0.24842835464990246
01013,0.4178962900505902,0.5752529510961214
01015,0.29845242531824334,0.6884843967597042
01017,0.41644857367181365,0.5726903951845067
01019,0.13202178684659785,0.8603365580034144
01021,0.1591403417918177,0.8329880890730191
01023,0.41894426580921756,0.5755627009646302
01025,0.4381423677198325,0.5575942139322421
01027,0.18282828282828284,0.8082251082251082
01029,0.09339975093399751,0.8971910889719109
01031,0.22787878787878788,0.7586531986531987
01033,0.2991823854263788,0.688625116545937
01035,0.46048750194069243,0.5343890700201832
01037,0.3277970432560686,0.6627121737543348
01039,0.15611015490533564,0.8368330464716007
01041,0.2569140093698051,0.7350763185733716
01043,0.10699863802537574,0.8812214761893383
01045,0.2619313000303982,0.724642820954504
01047,0.6846171070309002,0.30922525750111957
01049,0.14583049461779535,0.8436776127537812
01051,0.2526687789422374,0.7351693882524982
01053,0.3091137649277184,0.6831552482715273
01055,0.2423524974857526,0.7443848474689909
01057,0.1591375770020534,0.8327629477526808
01059,0.16584512641119414,0.8249324216886628
01061,0.12714228776404943,0.8647269828616979
01063,0.8134031413612566,0.18324607329842932
01065,0.590253164556962,0.4040506329113924
01067,0.2802753280275328,0.7105829210582921
01069,0.27975223615532885,0.7064301648149351
01071,0.15726011169402607,0.8322051108478592
01073,0.5575851317178562,0.426097444207115
01075,0.13596552203531212,0.858334491867093
01077,0.26872505018155574,0.7154198335551095
01079,0.22219449815981535,0.7686357681991142
01081,0.38992848045459,0.590924995451301
01083,0.27768863613283234,0.7035645374225652
01085,0.7274323335771763,0.2686174103877103
01087,0.8148572738736674,0.1766594061676029
01089,0.4481560017867503,0.5277074658438031
01091,0.50348623853211,0.4901834862385321
01093,0.10596074454986601,0.8839718983124502
01095,0.1498676081200353,0.8369940738872778
01097,0.43389530693804457,0.5527450809110961
01099,0.4176040494938133,0.5762092238470191
01101,0.6508941990538537,0.3360029857069367
01103,0.24634228062990954,0.7383194966680318
01105,0.7380497131931166,0.2560229445506692
01107,0.41601158460901944,0.5786098469176665
01109,0.40719601184885484,0.5810273824145654
01111,0.20328504198578942,0.7897942234935867
01113,0.5264194289465047,0.46246893900323505
01115,0.1742535046466101,0.8137980693503747
01117,0.28941278816876903,0.6933449325793823
01119,0.7388332538547131,0.2540136703226832
01121,0.3683930123657572,0.623475310545944
01123,0.2791196226954409,0.7128293077985803
01125,0.41881071729583463,0.566883289712993
01127,0.15508501764517163,0.8341995508501765
01129,0.254393871113114,0.7395223073456512
01131,0.6857530069456209,0.3105200745383703
01133,0.08631690889755406,0.9034916696207019
02001,0.4753896636587367,0.48003828274541976
02002,0.3428943937418514,0.598761408083442
02003,0.22695289206917113,0.7246273106738224
02004,0.5085148891637332,0.4461992198649034
02005,0.4857869193436561,0.4711116246822279
02006,0.34587737843551797,0.6099365750528541
02007,0.23020162128455623,0.7303055497817501
02008,0.19703389830508475,0.7685633575464084
02009,0.2518875648139725,0.7083598653688711
02010,0.2433734939759036,0.7211958946898706
02011,0.29450508091832894,0.6676703048550997
02012,0.2631251112297562,0.702349172450614
02013,0.3456502009594192,0.6031375599636977
02014,0.37236738617495413,0.586734248011885
02015,0.4716675661090124,0.48048210109731965
02016,0.5264843557526484,0.43311160384331115
02017,0.5713496339273381,0.3881751623152369
02018,0.6063471502590674,0.35751295336787564
02019,0.5881909073759668,0.3725712129786833
02020,0.6510604241696679,0.31786047752434304
02021,0.5741860218474918,0.3913458479160038
02022,0.4782563025210084,0.49201680672268905
02023,0.4923116681741827,0.4722832407287763
02024,0.45416187188339086,0.5157268891446106
02025,0.4932975871313673,0.4726005361930295
02026,0.45079616259519334,0.5185441598259322
02027,0.5095729013254786,0.4548706080370292
02028,0.4913326535414542,0.48333202604125813
02029,0.27775193077137805,0.6945194007630037
02030,0.2592374213836478,0.7055817610062893
02031,0.40588235294117647,0.5617244157937148
02032,0.4206358728254349,0.5326934613077384
02033,0.687813783660429,0.2792332268370607
02034,0.5371423245409638,0.42343182030012116
02035,0.49604038804197187,0.4720847356959018
02036,0.40852346104175635,0.550365906155833
02037,0.4978607545702061,0.45857642940490084
02038,0.6042649556520098,0.32779769767880734
02039,0.6077066711933458,0.3291461551519267
02040,0.5035846187269172,0.43319574190745164
02099,0.8614318706697459,0.13625866050808313
04001,0.6622597520755147,0.32531559194814064
04003,0.39264087885907156,0.5882829820323616
04005,0.6100283873785348,0.3691996942897697
04007,0.32329549562576815,0.6643409731761983
04009,0.26902300766922305,0.7168389463154384
04011,0.32075983717774764,0.6602442333785618
04012,0.2998122821131671,0.6877178868329311
04013,0.5032405867289705,0.48142924283802285
04015,0.23723583139068297,0.7503248366262851
04017,0.45169702706357334,0.534259277145672
04019,0.5860544930120658,0.3992298187729753
04021,0.40603544281899073,0.5788759501335322
04023,0.6718142769482511,0.31673143792186537
04025,0.3463318926693711,0.6390613108412873
04027,0.4609264320773887,0.5228030509008171
05001,0.28893833439287986,0.684043229497775
05003,0.2681049709815796,0.6999747665909665
05005,0.22064073880135193,0.7538439567763127
05007,0.3523333778103943,0.6168273400493696
05009,0.17903470842585018,0.7977094776206615
05011,0.3322386425834702,0.6390257252326218
05013,0.21952337305224565,0.7497708524289642
05015,0.3410189031109604,0.6293125370856998
05017,0.5508164757494516,0.42700463075798195
05019,0.4095294818344253,0.5498511018463371
